Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
KERUPUK SEBLAK BETON BANTAT PEDES GURIH DAUN JERUK 250GRAM,19000,Madinah Oleh Oleh Bdg,Bandung,70.0,4.9,1330000.0
CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,35789,nyemilsaji,Kab. Bandung,750.0,4.9,26841750.0
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",22500,global cookware1,Jakarta Barat,1000.0,4.8,22500000.0
[ 250gr ] Kerupuk Seblak Kencur Pedas Daun Jeruk / Camilan Snack Murah,7250,Bara Snack Kediri 1,Kediri,29.0,5.0,210250.0
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,Tangerang Selatan,500.0,4.8,4999500.0
[ 250gr ] Kerupuk Seblak Jengkol Pedas / Camilan Snack Kiloan Murah,13500,Bara Snack Kediri 1,Kediri,6.0,5.0,81000.0
kerupuk seblak rafael 200gr,10999,Bunda Qiana Store,Bandung,30.0,4.8,329970.0
seblak ceker pedas,8995,snack_it,Tangerang Selatan,500.0,4.9,4497500.0
Tempat Toping seblak prasmanan 3ruang,305200,Fajar Akrilik Display2,Tangerang,,,
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19500,dariimyu,Kab. Indramayu,250.0,4.9,4875000.0
Kylafood Seblak Cup isi 2 pcs,25020,kylafood,Bandung,60.0,4.9,1501200.0
Seblak Instan Sehati,13000,Official Kartika Sari,Bandung,750.0,5.0,9750000.0
Krupuk seblak kencur 500gram,12000,Ummuchasna,Kab. Magelang,30.0,4.9,360000.0
Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,65000,Lidigeli,Kab. Garut,60.0,4.7,3900000.0
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,21750,SuperSnacksShop,Kab. Bandung,250.0,4.9,5437500.0
TEMPAT TOPING SEBLAK PRASMANAN,650000,Fajar Akrilik Display,Tangerang,,,
